id,url,title,subtitle,image,claps,responses,reading_time,publication,date
1,https://towardsdatascience.com/how-to-query-and-calculate-google-analytics-data-in-bigquery-cab8fc4f396,How to query and calculate Google Analytics data in BigQuery,A Standard SQL 101 with example queries,1.png,1300,18,16,Towards Data Science,2019-07-21
2,https://towardsdatascience.com/detecting-stationarity-in-time-series-data-d29e0a21e638,Detecting stationarity in time series data,In this post I’ll cover several ways to determine whether…,2.png,924,5,9,Towards Data Science,2019-07-21
3,https://towardsdatascience.com/the-5-sampling-algorithms-every-data-scientist-need-to-know-43c7bc11d17c,The 5 Sampling Algorithms every Data Scientist need to know,,3.jpg,2700,1,5,Towards Data Science,2019-07-21
4,https://towardsdatascience.com/overview-of-ui-monitoring-tools-for-apache-kafka-clusters-9ca516c165bd,Overview of UI Monitoring Tools for Apache Kafka Clusters,What are the best monitoring tools for Apache Kafka?,4.jpg,190,4,6,Towards Data Science,2019-07-21
5,https://towardsdatascience.com/9-tips-for-training-lightning-fast-neural-networks-in-pytorch-8e63a502f565,9 Tips For Training Lightning-Fast Neural Networks In Pytorch,,5.gif,1700,8,9,Towards Data Science,2019-07-21
6,https://towardsdatascience.com/how-to-quickly-compare-data-sets-76a694f6868a,How to Quickly Compare Data Sets,How to get a quick summary of any differences between two data sets,6.jpg,273,6,4,Towards Data Science,2019-07-21
7,https://towardsdatascience.com/understanding-partial-auto-correlation-fa39271146ac,Understanding Partial Auto-Correlation,"What is it, how is it calculated and when to use it",7.jpeg,269,6,11,Towards Data Science,2019-07-21
8,https://towardsdatascience.com/how-to-analyze-survey-data-with-python-84eff9cc9568,How To Analyze Survey Data With Python,"How To Read SPSS-/SAV Data With Python, Using Weights And…",8.png,154,3,5,Towards Data Science,2019-07-21
9,https://towardsdatascience.com/got-data-science-jobs-552e39d48da2,Got Data Science Jobs?,The Challenges of Landing that First Offer Post Data Science Bootcamp (Along…,9.jpeg,866,4,9,Towards Data Science,2019-07-21
10,https://towardsdatascience.com/data-science-recruitment-why-you-may-be-doing-it-wrong-b8e9c7b6dae5,Data-Science Recruitment — Why You May Be Doing It Wrong,"The recruiting process, especially for…",10.jpeg,147,4,8,Towards Data Science,2019-07-21
11,https://towardsdatascience.com/how-python-helped-me-with-choosing-my-new-home-92a238c94265,How Python Helped Select My New Home — Part 1,,11.jpeg,172,3,4,Towards Data Science,2019-07-21
12,https://towardsdatascience.com/using-artificial-intelligence-to-detect-recyclable-waste-part-1-9e9645029a3a,Using Artificial Intelligence to Detect Recyclable Waste — Part 1,,12.jpg,254,4,4,Towards Data Science,2019-07-21
13,https://towardsdatascience.com/graph-theory-132122ac38f2,A Gentle Introduction to Graph theory,,13.png,164,1,5,Towards Data Science,2019-07-21
14,https://towardsdatascience.com/what-tv-show-has-the-best-of-the-best-episodes-on-imdb-5ee5338d8e80,What TV show has the best of the best episodes on IMDb?,Breaking Bad or Game of Thrones,14.png,5,0,5,Towards Data Science,2019-07-21
15,https://towardsdatascience.com/licence-plate-reader-ios-application-using-ocr-technologies-and-coredata-3cdee933c38b,Creating a License Plate Reading iOS Application Using OCR Technologies and CoreData,"Full tutorial using different libraries — TesseractOCRiOS, SwiftOCR, and Google MLVision | Can we beat Google?",,671,1,7,Towards Data Science,2019-07-21
16,https://towardsdatascience.com/what-data-tells-us-about-the-worlds-wealthiest-a8c54e6ddb84,What Data Tells Us About the World’s Wealthiest,,16.jpeg,165,1,7,Towards Data Science,2019-07-21
17,https://towardsdatascience.com/paper-trading-get-rid-of-boring-stuff-using-python-part-1-914ab3b04724,How to Create an Automated Paper Trading System in 5 minutes,"<strong class=""markup--strong markup--h4-strong"">Get It Done in 5 seconds!</strong>",17.jpeg,194,0,6,Towards Data Science,2019-07-21
18,https://towardsdatascience.com/deep-learning-on-multi-label-text-classification-with-fastai-d5495d66ed88,Deep Learning on multi-label text classification with FastAi,Predict multiple target values associated with text dataset.,,82,0,3,Towards Data Science,2019-07-21
19,https://towardsdatascience.com/panoptic-segmentation-with-upsnet-12ecd871b2a3,Panoptic Segmentation with UPSNet,Combining Semantic and Instance Segmentation for Complete Scene…,19.png,73,1,3,Towards Data Science,2019-07-21
20,https://towardsdatascience.com/telegramgate-analysis-in-python-457d4a36164e,Telegramgate Analysis in Python,Processing 889 pages of chat messages,20.jpg,26,2,10,Towards Data Science,2019-07-21
21,https://towardsdatascience.com/breaking-down-the-basics-of-an-effective-git-workflow-a94c53c3fa99,Breaking Down the Basics of an Effective Git Workflow,,21.jpeg,307,1,6,Towards Data Science,2019-07-21
22,https://towardsdatascience.com/how-do-we-measure-loyalty-an-introduction-to-survey-development-a08b6e30916c,How Do We Measure Loyalty? An Introduction to Survey Development,,22.jpg,16,0,10,Towards Data Science,2019-07-21
23,https://towardsdatascience.com/introducing-k-nearest-neighbors-7bcd10f938c5,Introducing k-Nearest Neighbors,Understanding the fundamentals of this classification model,23.jpeg,12,0,3,Towards Data Science,2019-07-21
24,https://towardsdatascience.com/facebook-vs-eu-artificial-intelligence-and-data-politics-8ab5ba4abe40,Facebook vs. EU Artificial Intelligence and Data Politics,Review of the new FRA paper and Facebook’s…,24.jpeg,98,0,14,Towards Data Science,2019-07-21
25,https://towardsdatascience.com/the-inception-of-machine-learning-90b9fc3737ff,The Inception of Machine learning,,,97,0,3,Towards Data Science,2019-07-21
26,https://uxdesign.cc/10-rules-for-user-sign-up-journeys-7f9b19079a72,10 rules for user sign-up journeys,The sign-in/sign up step is a big hurdle the user has to cross to…,26.png,127,0,6,UX Collective,2019-07-21
27,https://uxdesign.cc/being-a-designer-developer-hybrid-in-2019-3e389d58fe7,Being a designer-developer hybrid in 2019,"Job titles, skillset and portfolio examples for designers…",27.jpeg,490,3,5,UX Collective,2019-07-21
28,https://uxdesign.cc/my-ideal-ux-designer-67ab4322783e,My ideal UX designer,,28.jpeg,670,1,4,UX Collective,2019-07-21
29,https://uxdesign.cc/mistakes-new-and-junior-ux-designers-make-b201abab0b5,Mistakes new and junior UX designers make,I got my degree in Human-Computer Interaction Design in May…,29.jpeg,434,5,5,UX Collective,2019-07-21
30,https://uxdesign.cc/whats-next-for-ux-writers-1ab930ddc065,What’s next for UX writers?,,30.png,272,3,6,UX Collective,2019-07-21
31,https://uxdesign.cc/surviving-enterprise-ux-the-importance-of-targeted-user-research-c9823568ef1f,Surviving Enterprise UX: the importance of targeted user research,"Making sense of the Madness of User Research, not just the Methods",,294,1,6,UX Collective,2019-07-21
32,https://uxdesign.cc/what-do-product-managers-really-want-from-designers-2cb9d50e5abe,What do Product Managers really want from designers?,5 things a product designer can do to make a PM’s…,32.jpeg,64,0,6,UX Collective,2019-07-21
33,https://uxdesign.cc/my-first-glide-app-design-space-b3c62e70ea0a,My first Glide app: design.space,A design app for your pocket. ⭐️,33.png,113,0,2,UX Collective,2019-07-21
34,https://uxdesign.cc/4-steps-to-get-accessibility-on-your-companys-agenda-db9d0b48a029,4 steps to get accessibility on your company’s agenda,,34.gif,251,0,7,UX Collective,2019-07-21
35,https://uxdesign.cc/popcorn-and-shipping-products-f61e82d757a8,"Popcorn, and shipping products","A framework for feature releases, with an appetising twist.",35.png,356,2,5,UX Collective,2019-07-21
36,https://uxdesign.cc/user-research-case-study-camber-racing-ad68a31f3f56,Leveraging a race car to tackle work stress? — a UX Research case study,,,867,1,10,UX Collective,2019-07-21
37,https://uxdesign.cc/on-design-as-narrative-promise-c3e8dc61569b,On design as narrative promise,The True Difference Between Good Design and Break-up Sex.,37.png,130,0,7,UX Collective,2019-07-21
38,https://uxdesign.cc/whats-a-mens-section-165826aba0c9,Whats a men’s section?,"<em class=""markup--em markup--h4-em"">An exercise in effective IA under novel constraints.</em>",38.gif,51,0,5,UX Collective,2019-07-21
39,https://uxdesign.cc/top-5-things-i-have-learned-from-designing-for-someone-who-is-visually-impaired-117030e2aad1,Top 5 things I have learned from designing for a person who is visually impaired,"<em class=""markup--em markup--h4-em"">What I have learned</em>",39.png,18,0,2,UX Collective,2019-07-21
40,https://medium.com/swlh/how-to-break-a-negative-thought-loop-9d410bb7461,How To Break A Negative Thought Loop,“It’s pretty black-and-white. You either let go or you don’t.”,40.png,16300,56,4,The Startup,2019-07-21
41,https://medium.com/swlh/remote-debugging-a-java-application-running-in-docker-container-with-intellij-idea-efe54cd77f02,Remote debugging a Java Application running in Docker container with Intellij Idea,,41.png,250,7,4,The Startup,2019-07-21
42,https://medium.com/swlh/should-ripples-xrp-be-classified-as-a-security-409ec3662d94,Should Ripple’s XRP Be Classified as a Security?,,42.jpeg,47,3,11,The Startup,2019-07-21
43,https://medium.com/swlh/effective-javascript-debugging-memory-leaks-75059b2436f6,Effective Javascript debugging: Memory leaks,,43.png,220,0,8,The Startup,2019-07-21
44,https://medium.com/swlh/dodging-bullets-fired-by-narcissists-f3615353a507,Dodging Bullets Fired by Narcissists,How to Spot Them and Deflect Them,44.jpeg,218,1,10,The Startup,2019-07-21
45,https://medium.com/swlh/24-powerful-questions-and-reflections-to-help-define-our-executive-presence-and-leadership-skills-d53b18f50173,24 Powerful Questions and Reflections To Help Define Our Executive Presence and Leadership Skills,,45.jpeg,73,0,10,The Startup,2019-07-21
46,https://medium.com/swlh/why-you-must-focus-on-a-niche-market-8f13c75b3e9d,Why you must focus on a niche market,Apply the hedgehog strategy to your business and increase your…,46.jpeg,225,2,4,The Startup,2019-07-21
47,https://medium.com/swlh/an-important-feature-xcode-is-still-missing-17effe59b521,An Important Feature Xcode is Still Missing,Programmers know that time is valuable. By nature…,47.png,201,1,6,The Startup,2019-07-21
48,https://medium.com/swlh/robots-and-religion-mediating-the-divine-2bd73220787d,Robots and Religion: Mediating the Divine.,"As icons and rituals adapt to newer technologies, the rise…",48.jpeg,152,0,13,The Startup,2019-07-21
